genome	bin	count	prop
grayfox	1	1953780	0.08612790490690747
grayfox	2	1102698	0.048609909245174505
grayfox	3	783498	0.0345387102123843
grayfox	4	660555	0.029119050366869487
grayfox	5	598640	0.026389669765004804
grayfox	6	291008	0.012828419449042025
canfam4	1	1423874	0.3468144200854496
canfam4	2	886564	0.21594128379943486
canfam4	3	586391	0.14282784474491905
canfam4	4	509120	0.12400686967660347
canfam4	5	468847	0.11419753462300933
canfam4	6	230783	0.056212047070583714
arcticfox	1	1415209	0.34402689771488054
arcticfox	2	892964	0.2170729798150454
arcticfox	3	587656	0.14285485084078453
arcticfox	4	512219	0.12451667105043734
arcticfox	5	472368	0.1148291860917947
arcticfox	6	233242	0.0566994144870575
