Individual	Dataset	SRA	Region	State	Lat	Lon	qW	qE	Depth(x)	Sex	Deme
GFO30	Robinson	SRR7458270	West	CA	38.846	-122.53	1	0	21	M	pure
S13-2949	Sacks	SRR24465296	West	CA	38.49	-122.152	1	0	7.7	M	pure
GFO41F	Robinson	SRR5198019-21	West	CA	34.097	-118.7	1	0	18.3	F	pure
S19-4679	Sacks	SRR24465287	West	NV	38.821	-116.494	1	0	5.8	M	pure
S19-4675	Sacks	SRR24465288	West	NV	37.459	-114.46	1	0	5	F	pure
S19-4717	Sacks	SRR24465284	West	NM	32.711	-107.845	1	0	4.9	M	pure
S19-3064	Sacks	SRR24465292	West	TX	29.561	-104.372	1	0	5.5	M	pure
S19-4728	Sacks	SRR24465283	West	NM	33.156	-104.321	1	0	5.5	F	pure
S19-2974	Sacks	SRR24465293	West	TX	30.625	-104.067	1	0	5.5	M	pure
S19-3133	Sacks	SRR24465290	West	TX	29.508	-103.328	1	0	23.6	M	pure
S19-4715	Sacks	SRR24465285	West	NM	34.956	-103.157	1	0	5	M	pure
S19-3152	Sacks	SRR24465289	West	TX	30.213	-102.43	1	0	6.1	M	pure
S19-2925	Sacks	SRR24465294	West	TX	29.924	-101.992	1	0	6.4	M	pure
S19-3066	Sacks	SRR24465291	West	TX	30.684	-101.308	1	0	6.1	F	pure
S19-2940	Sacks	SRR24465282	West	TX	30.19	-100.876	0.979	0.021	4.8	F	hybrid
S19-3061	Sacks	SRR24465278	West	TX	31.508	-100.356	0.96	0.04	5.1	M	hybrid
S19-2992	Sacks	SRR24465280	West	TX	30.414	-99.664	0.928	0.072	6.8	M	hybrid
S19-3084	Sacks	SRR24465274	West	TX	31.643	-99.518	0.93	0.07	6.2	M	hybrid
S19-3075	Sacks	SRR24465276	West	TX	31.04	-98.762	0.87	0.13	5.9	M	hybrid
S19-2977	Sacks	SRR24465281	West	TX	29.888	-98.719	0.892	0.108	6	F	hybrid
S19-3050	Sacks	SRR24465279	West	TX	31.892	-98.428	0.831	0.169	6	F	hybrid
S19-3072	Sacks	SRR24465277	West	TX	31.892	-97.638	0.789	0.211	6.9	F	hybrid
S19-3098	Sacks	SRR24465273	West	TX	30.461	-97.43	0.823	0.177	6.3	F	hybrid
S19-4695	Sacks	SRR24465300	East	OK	34.709	-97.313	0.212	0.788	5.5	F	hybrid
S19-4692	Sacks	SRR24465301	East	OK	34.586	-97.186	0.074	0.926	5.6	M	hybrid
S19-4685	Sacks	SRR24465302	East	OK	36.287	-96.512	0.059	0.941	5.2	M	hybrid
S19-3074	Sacks	SRR24465303	East	TX	32.127	-94.765	0.057	0.943	5.8	M	hybrid
S19-4698	Sacks	SRR24465299	East	AR	34.898	-94.091	0.019	0.981	5	F	hybrid
S19-4702	Sacks	SRR24465298	East	AR	33.331	-93.91	0.017	0.983	5.9	F	hybrid
S19-4714	Sacks	SRR24465306	East	AR	33.588	-93.391	0	1	4.9	F	pure
S19-4703	Sacks	SRR24465268	East	AR	35.708	-92.519	0.026	0.974	7.2	F	pure
S19-4701	Sacks	SRR24465269	East	AR	33.467	-92.169	0	1	6.2	M	pure
S19-4623	Sacks	SRR24465309	East	MO	37.152	-91.391	0	1	6.2	F	pure
S19-4710	Sacks	SRR24465307	East	AR	34.287	-91.338	0.011	0.989	6.4	M	pure
S19-4699	Sacks	SRR24465270	East	AR	36.052	-90.973	0	1	5.6	F	pure
S19-4626	Sacks	SRR24465297	East	MS	32.766	-90.388	0	1	4.8	F	pure
S19-4628	Sacks	SRR24465286	East	MS	31.164	-90.103	0	1	4.4	M	pure
S19-4625	Sacks	SRR24465308	East	MS	33.937	-89.337	0	1	5.1	F	pure
S19-4639	Sacks	SRR24465275	East 	TN	36.457	-88.984	0	1	4.2	F	pure
S19-4642	Sacks	SRR24465272	East 	TN	35.543	-88.856	0.074	0.926	5.7	M	pure
S19-4663	Sacks	SRR24465271	East	AL	32.248	-87.791	0	1	4.8	M	pure
S19-4737	Sacks	SRR24465305	East	KY	37.322	-84.928	0	1	6.3	M	pure
S19-6655	Sacks	SRR24465304	East	SC	33.346	-81.743	0	1	26.2	M	pure
