pop	genome	time_index	left_time_boundary	right_time_boundary	lambda
east	grayfox	0	0	1.99393e-6	1.99127
east	grayfox	1	1.99393e-6	4.46023e-6	1.99127
east	grayfox	2	4.46023e-6	7.51079e-6	1.9802
east	grayfox	3	7.51079e-6	1.1284e-5	1.98019
east	grayfox	4	1.1284e-5	1.59512e-5	3.47533
east	grayfox	5	1.59512e-5	2.1724e-5	187.226
east	grayfox	6	2.1724e-5	2.88643e-5	1351.42
east	grayfox	7	2.88643e-5	3.76963e-5	1915.45
east	grayfox	8	3.76963e-5	4.86205e-5	2116.77
east	grayfox	9	4.86205e-5	6.21327e-5	2442.04
east	grayfox	10	6.21327e-5	7.8846e-5	2743.29
east	grayfox	11	7.8846e-5	9.95187e-5	2971.26
east	grayfox	12	9.95187e-5	1.25089e-4	3159.07
east	grayfox	13	1.25089e-4	1.56716e-4	3309.97
east	grayfox	14	1.56716e-4	1.95837e-4	3355.19
east	grayfox	15	1.95837e-4	2.44225e-4	3209.48
east	grayfox	16	2.44225e-4	3.04076e-4	2867.05
east	grayfox	17	3.04076e-4	3.78106e-4	2427.15
east	grayfox	18	3.78106e-4	4.69673e-4	2007.98
east	grayfox	19	4.69673e-4	5.82934e-4	1672.14
east	grayfox	20	5.82934e-4	7.23026e-4	1426.66
east	grayfox	21	7.23026e-4	8.96306e-4	1251.86
east	grayfox	22	8.96306e-4	0.00111064	1122.55
east	grayfox	23	0.00111064	0.00137574	1019.1
east	grayfox	24	0.00137574	0.00170365	933.127
east	grayfox	25	0.00170365	0.00210924	865.042
east	grayfox	26	0.00210924	0.00261092	817.985
east	grayfox	27	0.00261092	0.00323144	817.265
east	grayfox	28	0.00323144	0.00399897	817.265
east	grayfox	29	0.00399897	0.00494833	161.865
east	grayfox	30	0.00494833	0.00612259	161.865
east	grayfox	31	0.00612259	Inf	161.865
east	arcticfox	0	0	2.32759e-6	1.69649
east	arcticfox	1	2.32759e-6	5.2066e-6	1.69649
east	arcticfox	2	5.2066e-6	8.76764e-6	1.69633
east	arcticfox	3	8.76764e-6	1.31723e-5	1.69633
east	arcticfox	4	1.31723e-5	1.86204e-5	1.69633
east	arcticfox	5	1.86204e-5	2.53592e-5	48.2247
east	arcticfox	6	2.53592e-5	3.36945e-5	421.348
east	arcticfox	7	3.36945e-5	4.40044e-5	1081.55
east	arcticfox	8	4.40044e-5	5.67567e-5	1501.93
east	arcticfox	9	5.67567e-5	7.253e-5	1798.6
east	arcticfox	10	7.253e-5	9.20401e-5	2129.93
east	arcticfox	11	9.20401e-5	1.16172e-4	2465.25
east	arcticfox	12	1.16172e-4	1.46021e-4	2737.06
east	arcticfox	13	1.46021e-4	1.82941e-4	2891.38
east	arcticfox	14	1.82941e-4	2.28608e-4	2896.16
east	arcticfox	15	2.28608e-4	2.85093e-4	2750.36
east	arcticfox	16	2.85093e-4	3.5496e-4	2487.71
east	arcticfox	17	3.5496e-4	4.41378e-4	2165.51
east	arcticfox	18	4.41378e-4	5.48269e-4	1842.12
east	arcticfox	19	5.48269e-4	6.80482e-4	1556.52
east	arcticfox	20	6.80482e-4	8.44017e-4	1323.21
east	arcticfox	21	8.44017e-4	0.00104629	1139.16
east	arcticfox	22	0.00104629	0.00129649	994.251
east	arcticfox	23	0.00129649	0.00160596	879.032
east	arcticfox	24	0.00160596	0.00198874	787.634
east	arcticfox	25	0.00198874	0.0024622	716.638
east	arcticfox	26	0.0024622	0.00304783	663.052
east	arcticfox	27	0.00304783	0.00377219	623.966
east	arcticfox	28	0.00377219	0.00466816	623.966
east	arcticfox	29	0.00466816	0.00577638	79.058
east	arcticfox	30	0.00577638	0.00714714	79.058
east	arcticfox	31	0.00714714	Inf	79.058
east	canfam4	0	0	2.29596e-6	5.88785
east	canfam4	1	2.29596e-6	5.13583e-6	5.88785
east	canfam4	2	5.13583e-6	8.64848e-6	1.71985
east	canfam4	3	8.64848e-6	1.29933e-5	1.7197
east	canfam4	4	1.29933e-5	1.83674e-5	2.63225
east	canfam4	5	1.83674e-5	2.50146e-5	72.6397
east	canfam4	6	2.50146e-5	3.32365e-5	506.054
east	canfam4	7	3.32365e-5	4.34063e-5	1089.33
east	canfam4	8	4.34063e-5	5.59852e-5	1474.62
east	canfam4	9	5.59852e-5	7.15442e-5	1791.46
east	canfam4	10	7.15442e-5	9.07891e-5	2131.91
east	canfam4	11	9.07891e-5	1.14593e-4	2474.9
east	canfam4	12	1.14593e-4	1.44036e-4	2757.3
east	canfam4	13	1.44036e-4	1.80455e-4	2920.96
east	canfam4	14	1.80455e-4	2.25501e-4	2928.2
east	canfam4	15	2.25501e-4	2.81218e-4	2775.09
east	canfam4	16	2.81218e-4	3.50135e-4	2501.25
east	canfam4	17	3.50135e-4	4.35379e-4	2172.73
east	canfam4	18	4.35379e-4	5.40817e-4	1848.24
east	canfam4	19	5.40817e-4	6.71233e-4	1561.76
east	canfam4	20	6.71233e-4	8.32545e-4	1325.18
east	canfam4	21	8.32545e-4	0.00103207	1136.19
east	canfam4	22	0.00103207	0.00127887	986.25
east	canfam4	23	0.00127887	0.00158413	868.055
east	canfam4	24	0.00158413	0.00196171	778.623
east	canfam4	25	0.00196171	0.00242874	718.66
east	canfam4	26	0.00242874	0.0030064	692.933
east	canfam4	27	0.0030064	0.00372092	844.896
east	canfam4	28	0.00372092	0.00460471	844.896
east	canfam4	29	0.00460471	0.00569787	34.8379
east	canfam4	30	0.00569787	0.00705	34.8379
east	canfam4	31	0.00705	Inf	34.8379
west	grayfox	0	0	3.75485e-6	1.06245
west	grayfox	1	3.75485e-6	8.39924e-6	1.06245
west	grayfox	2	8.39924e-6	1.41439e-5	1.05154
west	grayfox	3	1.41439e-5	2.12494e-5	2.23214
west	grayfox	4	2.12494e-5	3.00383e-5	319.647
west	grayfox	5	3.00383e-5	4.09093e-5	1239.07
west	grayfox	6	4.09093e-5	5.43556e-5	1269.39
west	grayfox	7	5.43556e-5	7.09874e-5	1176.18
west	grayfox	8	7.09874e-5	9.15593e-5	1116.38
west	grayfox	9	9.15593e-5	1.17005e-4	1092.84
west	grayfox	10	1.17005e-4	1.48478e-4	1102.09
west	grayfox	11	1.48478e-4	1.87408e-4	1114.98
west	grayfox	12	1.87408e-4	2.3556e-4	1094.42
west	grayfox	13	2.3556e-4	2.95119e-4	1050.35
west	grayfox	14	2.95119e-4	3.68788e-4	1013.8
west	grayfox	15	3.68788e-4	4.59909e-4	1000.67
west	grayfox	16	4.59909e-4	5.72618e-4	1010.45
west	grayfox	17	5.72618e-4	7.12027e-4	1034.96
west	grayfox	18	7.12027e-4	8.84462e-4	1060.94
west	grayfox	19	8.84462e-4	0.00109775	1072.48
