pop	genome	bin	count	prop
east	arcticfox	5	472368	0.1148291860917947
east	arcticfox	6	233242	0.0566994144870575
east	arcticfox	3	587656	0.14285485084078453
east	arcticfox	1	1415209	0.34402689771488054
east	arcticfox	4	512219	0.12451667105043734
east	arcticfox	2	892964	0.2170729798150454
east	canfam4	5	468847	0.11419753462300933
east	canfam4	6	230783	0.056212047070583714
east	canfam4	3	586391	0.14282784474491905
east	canfam4	1	1423874	0.3468144200854496
east	canfam4	4	509120	0.12400686967660347
east	canfam4	2	886564	0.21594128379943486
east	grayfox	5	598640	0.11106124676007977
east	grayfox	6	291008	0.05398855956360633
east	grayfox	3	783498	0.1453565827776777
east	grayfox	1	1953780	0.3624703372559613
east	grayfox	4	660555	0.12254787828010906
east	grayfox	2	1102698	0.2045753953625659
west	arcticfox	5	769732	0.08878319369525965
west	arcticfox	6	374574	0.04320448675020421
west	arcticfox	3	1149062	0.13253625172639627
west	arcticfox	1	3550053	0.4094737429747466
west	arcticfox	4	889576	0.102606359505197
west	arcticfox	2	1936797	0.22339596534819628
west	canfam4	5	765226	0.0884963202764063
west	canfam4	6	372004	0.04302125793962078
west	canfam4	3	1147462	0.13270088138276237
west	canfam4	1	3547764	0.4102893252569885
west	canfam4	4	886150	0.10248085430047782
west	canfam4	2	1928375	0.2230113608437442
west	grayfox	5	1022878	0.08804932589900648
west	grayfox	6	491636	0.042320020948425865
west	grayfox	3	1535452	0.132171689634816
west	grayfox	1	4889628	0.4208991192467795
west	grayfox	4	1180747	0.10163868751432156
west	grayfox	2	2496761	0.21492115675665066
