genome	bin	count	prop
grayfox	1	4889628	0.20796517896169675
grayfox	2	2496761	0.1061919941945655
grayfox	3	1535452	0.06530569400516668
grayfox	4	1180747	0.05021941570268465
grayfox	5	1022878	0.04350494686425684
grayfox	6	491636	0.020910214176622994
canfam4	1	3547764	0.4102893252569885
canfam4	2	1928375	0.2230113608437442
canfam4	3	1147462	0.13270088138276237
canfam4	4	886150	0.10248085430047782
canfam4	5	765226	0.0884963202764063
canfam4	6	372004	0.04302125793962078
arcticfox	1	3550053	0.4094737429747466
arcticfox	2	1936797	0.22339596534819628
arcticfox	3	1149062	0.13253625172639627
arcticfox	4	889576	0.102606359505197
arcticfox	5	769732	0.08878319369525965
arcticfox	6	374574	0.04320448675020421
