pop	chrom	group	count.cf3	mean.cf3	sd.cf3	fox_chrom	count.gf	mean.gf	sd.gf
east	3	syntenic	23094	4.211403766211164e-8	1.4441187343254937e-8	4	257942	1.4080687764724916e-8	1.6895718773518e-8
east	4	syntenic	24386	4.9153311437479216e-8	3.2547517477034056e-8	5	273485	1.2808975099941422e-8	1.5823818610401917e-8
east	5	syntenic	23725	6.01457974061939e-8	2.776257709792549e-8	6	245490	1.1398049967217985e-8	1.5614537283849826e-8
east	8	syntenic	23016	5.924699514607445e-8	3.268403617192102e-8	8	249873	1.5042167614802738e-8	1.939146621393656e-8
east	10	syntenic	20887	5.452841630116653e-8	2.7182238883585967e-8	10	259817	1.5997906379686974e-8	2.1718846784242942e-8
east	12	syntenic	30153	5.870023120868188e-8	2.1457660731468484e-8	12	363862	1.1473411060450483e-8	1.6721995942304024e-8
east	14	syntenic	18524	6.743819530843555e-8	3.337255047050817e-8	14	226502	1.4270441541321485e-8	1.718330874663988e-8
east	15	syntenic	22473	4.91221731058615e-8	2.758575750501677e-8	16	204267	1.3872047806611443e-8	1.785189780889204e-8
east	16	syntenic	17976	5.191656549622063e-8	2.0995124146858996e-8	28	344786	1.2329389791063965e-8	1.646680231824892e-8
east	17	syntenic	16906	5.324992208163544e-8	2.2682728635897407e-8	18	250758	1.3537598278651581e-8	1.618526859859983e-8
east	20	syntenic	15441	4.865919812721659e-8	3.145493572715335e-8	17	208640	1.608180173853316e-8	2.4586997876964967e-8
east	21	syntenic	16060	5.9134093513967335e-8	2.080326982054098e-8	23	359470	1.3339868201584933e-8	2.284116847434893e-8
east	23	syntenic	31890	4.324375446507597e-8	1.8208386771957983e-8	22	312171	1.6939805116461484e-8	2.105761131122283e-8
east	24	syntenic	11568	5.6870068025493985e-8	3.137070148821575e-8	26	330253	1.3359243135704676e-8	1.6480318757518874e-8
east	27	syntenic	11631	6.61413272349545e-8	9.70307745542377e-9	27	350570	1.1466995245917758e-8	1.506025707614682e-8
east	34	syntenic	32465	5.913418966733543e-8	3.1406896277846247e-8	30	294057	1.3830746695955542e-8	2.1209109042126413e-8
west	3	syntenic	43087	6.774189823343929e-8	4.2745113766994696e-8	4	564346	2.1699390945892224e-8	2.0593307443671043e-8
west	4	syntenic	47167	8.004701329016406e-8	5.988074941938884e-8	5	569167	1.9347096891901016e-8	1.802840023062336e-8
west	5	syntenic	49161	1.3003839052952312e-7	8.506080554794493e-8	6	521022	1.9348333858973586e-8	2.183071197938623e-8
west	8	syntenic	44471	1.3080303266429956e-7	1.4397440947118838e-7	8	521302	2.1495385604626453e-8	2.187508928081828e-8
west	10	syntenic	37642	7.658425202430386e-8	3.447468429001738e-8	10	546989	2.6090813783383863e-8	3.009716351559747e-8
west	12	syntenic	58731	1.1076261018814752e-7	5.59779222611627e-8	12	777975	1.7868159845843835e-8	1.700646070234667e-8
west	14	syntenic	37564	1.2838602715208954e-7	8.840037636447629e-8	14	475807	2.0250250744721167e-8	2.095979487271637e-8
west	15	syntenic	44105	1.0068056999591077e-7	8.496446865050518e-8	16	440123	2.3896479058541737e-8	2.3656077479138323e-8
west	16	syntenic	34891	9.793264175273466e-8	4.751868059121515e-8	28	740592	1.8703967613139916e-8	1.8330224890995265e-8
west	17	syntenic	33277	1.3424184799169436e-7	7.520731599911956e-8	18	534810	2.0780418020299842e-8	1.7453265446979425e-8
west	20	syntenic	27970	8.083845280451611e-8	6.880683683821645e-8	17	444404	2.4575886393072092e-8	2.5046641456015226e-8
west	21	syntenic	32470	1.545504002747816e-7	8.968612882307854e-8	23	781571	2.0563059956443633e-8	2.454537392359624e-8
west	23	syntenic	63475	8.310280775791412e-8	4.4236688307542517e-8	22	667211	2.7213610166440634e-8	2.9074268705697786e-8
west	24	syntenic	23579	7.931561202759124e-8	7.081697954669618e-8	26	697200	1.9860794047416066e-8	1.8898711194557317e-8
west	27	syntenic	22219	1.1974479620078743e-7	3.748550683741424e-8	27	756695	1.8244299805384367e-8	1.6368440254165043e-8
west	34	syntenic	59656	9.80844153638425e-8	6.434668870172848e-8	30	622307	1.994924165948461e-8	2.106216318735801e-8
