genome	pop	sample	nRefHom	nNonRefHom	nHets	nTransitions	nTransversions	nIndels	average depth	nSingletons	nHapRef	nHapAlt	nMissing
grayfox	east	SRR24465270	36711	246423	58957	221236	84144	0	7	155	0	0	15559
grayfox	east	SRR24465271	41291	235051	60143	213917	81277	0	6.1	101	0	0	21165
grayfox	east	SRR24465272	39738	235786	67371	219611	83546	0	5.4	128	0	0	14755
grayfox	east	SRR24465297	37805	239073	58239	215277	82035	0	4.7	23	0	0	22533
grayfox	east	SRR24465306	37857	241980	57404	217002	82382	0	5.5	134	0	0	20409
grayfox	east	SRR24465308	36625	241246	62064	219662	83648	0	6.3	31	0	0	17715
grayfox	west	SRR24465283	5923	323296	16625	246491	93430	0	7	1	0	0	11806
grayfox	west	SRR24465284	5675	321636	12037	241861	91812	0	6.1	1	0	0	18302
grayfox	west	SRR24465285	6606	315404	14235	239057	90582	0	5.4	3	0	0	21405
grayfox	west	SRR24465288	5085	324571	11554	243473	92652	0	4.7	1	0	0	16440
grayfox	west	SRR24465292	5367	325621	15040	246875	93786	0	5.5	2	0	0	11622
grayfox	west	SRR24465293	5371	325310	14693	246493	93510	0	6.3	1	0	0	12276
canfam31	east	SRR24465270	18148	15225615	45701	10475712	4795604	0	7	232	0	0	806419
canfam31	east	SRR24465271	22130	14974835	44054	10299693	4719196	0	6.1	150	0	0	1054864
canfam31	east	SRR24465272	19839	15275899	50554	10511531	4814922	0	5.4	174	0	0	749591
canfam31	east	SRR24465297	20179	14873918	40744	10225437	4689225	0	4.7	81	0	0	1161042
canfam31	east	SRR24465306	19776	15019970	43883	10334355	4729498	0	5.5	177	0	0	1012254
canfam31	east	SRR24465308	18743	15138339	44842	10413228	4769953	0	6.2	139	0	0	893959
canfam31	west	SRR24465283	63308	15213766	131794	10523641	4821919	0	7	225	0	0	687015
canfam31	west	SRR24465284	74481	14874829	116096	10278966	4711959	0	6.1	172	0	0	1030477
canfam31	west	SRR24465285	71301	14788397	118776	10228181	4678992	0	5.4	173	0	0	1117409
canfam31	west	SRR24465288	76134	14946353	119730	10327963	4738120	0	4.7	182	0	0	953666
canfam31	west	SRR24465292	66614	15225895	134649	10532729	4827815	0	5.5	243	0	0	668725
canfam31	west	SRR24465293	68333	15156978	131700	10483944	4804734	0	6.2	199	0	0	738872
