genome	pop	INDV	O(HOM)	E(HOM)	N_SITES	F	O(HET)	HET
grayfox	west	SRR24465285	493560	390739.8	521060	0.78898	27500	0.052777031
grayfox	west	SRR24465288	505478	394984	526701	0.83887	21223	0.040294209
grayfox	west	SRR24465292	506074	400656.1	534235	0.78918	28161	0.052712757
grayfox	west	SRR24465293	506068	400052.9	533436	0.79482	27368	0.051305124
grayfox	west	SRR24465294	507274	407270.8	543014	0.73671	35740	0.065817824
grayfox	west	SRR24465296	532780	411296.5	548363	0.88631	15583	0.028417308
grayfox	east	SRR24465297	404819	387866.4	517774	0.1305	112955	0.218155025
grayfox	east	SRR24465305	389774	405089.4	540293	-0.11328	150519	0.278587729
grayfox	east	SRR24465306	409939	390829.1	521683	0.14604	111744	0.214199044
grayfox	east	SRR24465307	408910	404539.4	539569	0.03237	130659	0.242154386
grayfox	east	SRR24465269	404722	401279.7	535317	0.02568	130595	0.243958253
grayfox	east	SRR24465272	399289	397540.6	530522	0.01315	131233	0.247365802
canfam3.1	west	SRR24465285	1128244	1072202.1	1325328	0.2214	197084	0.14870583
canfam3.1	west	SRR24465288	1138994	1081447.2	1336808	0.22535	197814	0.147974877
canfam3.1	west	SRR24465292	1135135	1100029.4	1359488	0.1353	224353	0.165027569
canfam3.1	west	SRR24465293	1134354	1095860.9	1354384	0.1489	220030	0.162457619
canfam3.1	west	SRR24465294	1131941	1121723.5	1386207	0.03863	254266	0.183425708
canfam3.1	west	SRR24465296	1215937	1134510.4	1402078	0.30432	186141	0.132760802
canfam3.1	east	SRR24465297	1251356	1067662.4	1319368	0.7298	68012	0.051548923
canfam3.1	east	SRR24465305	1294011	1118917.1	1382714	0.66375	88703	0.064151372
canfam3.1	east	SRR24465306	1260332	1078644.9	1332972	0.71438	72640	0.054494768
canfam3.1	east	SRR24465307	1301589	1117933.8	1381469	0.69689	79880	0.057822506
canfam3.1	east	SRR24465269	1282407	1106806.6	1367637	0.67324	85230	0.062319168
canfam3.1	east	SRR24465272	1269133	1095030.2	1353073	0.67471	83940	0.062036564
